Graduação,contagem,porcentagem
Biomedicina,3,7.69
Psicologia,3,7.69
Pedagogia,3,7.69
Sistemas de Informação,2,5.13
Análise e desenvolvimento de sistemas,2,5.13
Direito,2,5.13
Arquitetura e Urbanismo,1,2.56
Farmácia,1,2.56
direito,1,2.56
Ciência da computação,1,2.56
engenharia de controle e automação,1,2.56
Sistema de informação ,1,2.56
Marketing,1,2.56
Medicina,1,2.56
Matemática,1,2.56
Medicina Veterinária ,1,2.56
Design,1,2.56
Design Gráfico (Humanas),1,2.56
Cybersegurança,1,2.56
Licenciatura em Ciencias Sociais,1,2.56
Comunicação Social,1,2.56
Ciência da Computação,1,2.56
Tecnologia (Análise e Desenvolvimento de Sistemas),1,2.56
Bacharelado em Ciência e Tecnologia,1,2.56
Línguas Estrangeiras Aplicadas ao Multilinguismo e à Sociedade da Informação,1,2.56
Fotografia,1,2.56
biomedicina,1,2.56
"Linguística, Letras e Tradução",1,2.56
Letras,1,2.56
Comunicação,1,2.56
