ID,corr,rt
1,27,11178.09
2,20,17319.67
3,6,16706.07
4,12,17243.67
5,14,16161.0
6,14,17073.67
7,14,17117.93
8,14,17071.53
9,11,20537.07
10,16,16675.47
11,19,15557.23
12,9,21763.93
13,10,16195.28
14,17,16363.64
15,10,21285.24
16,10,18582.63
17,11,21930.7
18,14,21009.07
19,16,14634.97
20,14,17507.7
21,12,23062.4
22,17,15663.87
23,7,24933.07
24,13,19279.79
25,20,21269.73
26,22,15008.57
27,15,16213.0
28,9,17054.7
29,0,30007.5
30,16,19558.93
31,5,12689.03
32,7,20098.4
33,11,13322.8
34,8,22769.87
35,9,21740.4
36,6,10986.43
37,14,18200.37
38,14,17979.6
39,18,15476.87
40,18,14900.3
41,20,15432.83
42,10,13538.63
43,18,15733.47
44,16,16765.03
45,15,21891.41
46,6,26696.87
47,16,14688.97
48,9,20852.77
49,9,16767.53
50,9,18771.97
51,6,12506.3
52,8,24544.45
53,11,16309.33
54,13,18666.33
55,17,17750.5
56,8,15567.73
