corranswer,tentativas,acertos,porcentagem_acertos,porcentagem_erros,palavra_errada_mais_comum,porcentagem_noreponse
ARARA,54,3,5.56,94.44,ROUPA,53.7
ARCO,55,21,38.18,61.82,VELOCIDADE,23.64
BICO,55,1,1.82,98.18,PE,58.18
CEREJA,57,19,33.33,66.67,FRUTA,24.56
CLIPE,54,4,7.41,92.59,CORTE,31.48
CORDA,55,33,60.0,40.0,INSTRUMENTO,10.91
COROA,55,14,25.45,74.55,REI,25.45
DOR,54,3,5.56,94.44,SANGUE,40.74
GALINHA,55,40,72.73,27.27,FRANGO,9.09
GUARDA,55,40,72.73,27.27,CAPA,9.09
IDA,53,0,0.0,100.0,ASILO,49.06
INGLESA,55,21,38.18,61.82,MOLHO,30.91
LARANJA,5,2,40.0,60.0,VERDE,0.0
LEITE,54,25,46.3,53.7,BRANCO,20.37
MACACO,53,27,50.94,49.06,AGUA,20.75
MANGA,55,39,70.91,29.09,AGUA,12.73
MAR,55,28,50.91,49.09,A,34.55
MARINHO,55,30,54.55,45.45,ANIMAL,21.82
MEIO,54,10,18.52,81.48,TERRA,38.89
MEL,55,31,56.36,43.64,DOCE,16.36
NEGRA,56,37,66.07,33.93,ANIMAL,10.71
PANELA,55,39,70.91,29.09,ANELA,12.73
PARA,55,13,23.64,76.36,CLIMA,21.82
PAU,55,25,45.45,54.55,CORPO,18.18
PEIXE,55,29,52.73,47.27,CIRCO,23.64
POLO,55,21,38.18,61.82,AGUA,29.09
QUEBRA,55,41,74.55,25.45,CAPACETE,12.73
QUEIJO,55,48,87.27,12.73,QUIJO,3.64
TREM,56,49,87.5,12.5,ARMA,3.57
VASO,55,4,7.27,92.73,SEIVA,47.27
VERDE,49,13,26.53,73.47,LARANJA,10.2
